Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura RLX,119,127,135,151,91,50,42,38,46,68,80,72
Audi A6,1889,1506,1963,1374,1427,1743,1246,1247,770,1252,1264,2126
Audi A7,620,474,672,441,526,409,289,331,199,294,246,454
BMW 5-Series,3679,2976,3690,2857,3242,6259,2521,2534,2606,2837,2775,2733
Cadillac CT6,720,691,777,605,698,559,535,599,492,749,778,749
Cadillac CTS,799,767,863,794,916,733,371,416,341,318,330,318
Cadillac XTS,1228,1179,1327,1742,2010,1608,378,423,348,350,363,350
Genesis G80,473,533,475,632,708,532,520,544,446,625,820,787
Infiniti Q70,235,269,458,345,203,183,172,182,149,154,112,90
Jaguar XF,96,278,212,71,50,64,118,72,73,44,63,95
Lexus ES,3144,3324,4922,3499,4741,4350,4960,5636,3320,3870,4545,5025
Lexus GS,298,263,394,301,260,214,305,342,193,222,321,265
Lincoln Continental,446,428,481,484,559,447,624,699,574,608,630,607
Lincoln MKZ,1410,1354,1523,1519,1753,1402,1541,1726,1418,1344,1393,1343
Mercedes-Benz E / CLS-Class,3258,3424,3712,3372,3372,3346,2750,2892,3523,3177,3689,3343
Tesla Model 3,6500,5750,10175,10050,13950,20550,13450,13150,20250,15566,16143,15566
Volvo 90-Series,514,367,346,333,206,226,212,141,1094,204,191,218
