Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura ILX,805,1047,1289,1152,1351,1312,1224,1439,1078,1430,1253,1305
Acura TLX,1669,2219,3141,2096,2235,1812,1761,2252,1741,2188,2587,2847
Alfa Romeo Giulia,531,646,858,746,797,768,668,748,614,767,795,767
Audi A3,664,823,1182,681,947,831,522,705,863,942,995,1263
Audi A4,1691,1436,2652,1860,2223,2292,2579,2924,2392,2178,2056,2152
Audi A5,1651,1603,2224,1685,2251,2160,2017,2085,1646,1705,1805,2191
BMW 2-Series,578,738,746,581,253,717,662,617,863,690,805,765
BMW 3-Series,1226,2379,4620,3642,4364,4927,3392,3984,4303,3462,6283,5245
BMW 4-Series,2842,2685,1875,1214,1340,1738,1484,1072,1452,1030,998,891
BMW i3,255,350,359,331,438,473,304,385,467,359,918,214
Cadillac ATS,172,165,185,121,139,111,52,58,48,28,28,27
Cadillac CT5,-,-,-,-,-,-,-,-,-,-,-,43
Genesis G70,596,819,817,844,1447,1193,905,1015,871,1021,1153,1222
Infiniti Q50,2249,2230,3785,2174,1857,2042,1895,1888,1635,2100,1967,2165
Infiniti Q60,406,327,571,425,314,359,396,384,336,595,500,430
Jaguar XE,406,777,658,217,186,164,178,239,218,180,132,196
Lexus IS,1075,1115,1694,1385,1533,1560,1331,1363,844,843,1006,1171
Lexus RC,262,279,422,353,412,381,437,482,334,351,450,428
Mercedes-Benz A-Class,-,-,890,804,804,2015,2619,2308,2303,1491,1544,1166
Mercedes-Benz B-Class,1,2,-,1,1,2,1,1,-,1,-,-
Mercedes-Benz C-Class,4676,4812,5514,4054,4054,3951,3449,3315,4073,3096,4469,3412
Mercedes-Benz CLA-Class,2278,1566,1366,986,986,573,609,118,623,-,-,-
