Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura NSX,9,9,16,5,6,10,15,3,10,22,9,14
Alfa Romeo 4C,10,13,8,7,16,17,7,7,7,2,2,3
Alfa Romeo Giulia,571,740,448,305,677,711,769,683,740,864,709,987
Audi A5,1728,2237,1355,898,1996,2096,1304,1159,1255,1619,1330,1850
Audi R8,32,41,25,18,41,43,69,61,66,63,52,72
Audi TT,57,74,45,45,100,105,83,74,80,57,47,65
BMW 2-Series,576,745,451,685,1522,1598,1467,1299,16,1636,1344,1870
BMW 8-Series,550,712,431,314,699,734,742,657,699,734,603,839
BMW i8,21,28,17,9,20,21,17,15,16,9,8,11
BMW Z4,203,263,159,149,332,349,252,223,238,66,54,76
Chevrolet Camaro,2334,3021,1830,1202,2670,2804,2934,2608,2825,2547,2092,2910
Chevrolet Corvette,1241,1606,973,443,984,1033,2228,1981,2146,3033,2492,3467
Dodge Challenger,3942,5104,3092,1778,3952,4150,5727,5090,5515,4927,4047,5631
Dodge Viper,-,-,-,-,-,-,1,1,1,1,1,1
Fiat 124 Spider,126,163,99,105,232,244,146,130,140,110,90,126
Ford GT,26,33,20,3,7,8,-,-,-,14,4,10
Ford Mustang,5869,7598,4602,2829,6287,6601,4857,4317,4677,4399,4119,4935
Infiniti Q60,301,390,236,139,308,323,207,184,199,171,140,195
Lexus LC,98,86,56,-,70,74,89,107,131,164,188,230
Lexus RC,289,299,169,140,312,328,341,372,389,406,347,416
Mazda MX-5 Miata,396,807,497,552,1102,966,696,774,862,851,610,694
Nissan 370Z,182,236,143,135,300,315,178,159,172,46,37,52
Nissan GT-R,19,24,15,13,28,29,40,35,38,21,17,24
Porsche 718,130,168,102,85,189,198,380,338,366,503,413,575
Porsche 911,841,1089,660,404,898,943,549,488,529,822,676,940
Subaru BRZ,112,166,114,105,227,238,266,267,251,221,129,171
Toyota 86 / FR-S,222,280,202,116,258,271,231,236,152,172,131,205
Toyota Supra,342,398,273,231,512,538,515,500,489,677,708,704
