Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura ILX,935,1083,723,506,1039,1109,1230,1331,1377,1523,1141,1417
Acura NSX,9,9,16,5,6,10,15,3,10,22,9,14
Acura RLX,63,84,31,26,71,126,134,118,122,126,81,72
Acura TLX,1769,2263,1452,1024,1467,1439,1886,1973,1848,2365,2014,2285
Alfa Romeo 4C,10,13,8,7,16,17,7,7,7,2,2,3
Alfa Romeo Giulia,571,740,448,305,677,711,769,683,740,864,709,987
Audi A3,727,941,570,342,761,799,896,796,863,1094,899,1250
Audi A4,1283,1661,1006,795,1766,1854,2089,1857,2012,1356,1114,1549
Audi A5,1728,2237,1355,898,1996,2096,1304,1159,1255,1619,1330,1850
Audi A6,809,1048,635,374,830,872,1216,1081,1171,843,693,964
Audi A7,211,273,165,107,238,250,263,233,253,292,240,334
Audi A8,180,233,141,83,185,194,230,204,222,237,195,271
Audi R8,32,41,25,18,41,43,69,61,66,63,52,72
Audi TT,57,74,45,45,100,105,83,74,80,57,47,65
BMW 2-Series,576,745,451,685,1522,1598,1467,1299,16,1636,1344,1870
BMW 3-Series,3447,4463,2703,1388,3085,3239,3638,3222,1383,4292,3525,4905
BMW 4-Series,714,924,560,317,704,739,587,520,3430,1303,1070,1489
BMW 5-Series,1752,2269,1374,889,1976,2075,1877,1663,553,3740,3072,4275
BMW 6-Series,17,22,13,12,26,28,9,8,1770,19,15,21
BMW 7-Series,547,709,429,209,465,488,479,424,9,751,617,858
BMW 8-Series,550,712,431,314,699,734,742,657,699,734,603,839
BMW i3,21,27,16,34,75,79,216,191,203,216,177,247
BMW i8,21,28,17,9,20,21,17,15,16,9,8,11
BMW Z4,203,263,159,149,332,349,252,223,238,66,54,76
Buick Cascada,2,3,2,1,2,2,-,-,-,-,-,-
Buick LaCrosse,45,58,35,13,28,30,2,2,2,5,4,5
Buick Regal,390,505,306,148,329,345,141,135,135,20,16,23
Cadillac ATS,15,20,12,8,18,19,6,5,6,2,2,2
Cadillac CT4,13,17,10,106,236,248,539,479,519,918,754,1049
Cadillac CT5,974,1262,764,464,1030,1082,1403,1247,1351,1732,1423,1980
Cadillac CT6,560,725,439,149,330,347,148,132,142,49,40,56
Cadillac CTS,52,67,41,30,67,71,52,46,50,46,37,52
Cadillac XTS,154,199,120,48,106,111,85,75,82,74,61,85
Chevrolet Bolt,1908,2470,1496,449,998,1048,1992,1771,1919,2261,1857,2584
Chevrolet Camaro,2334,3021,1830,1202,2670,2804,2934,2608,2825,2547,2092,2910
